OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
70254,LOVES TRAVEL STOP #732,I-70 & CR-829,Abilene,KS,LOVES TRAVEL STOP #732 Abilene KS ,38.487484,-97.225375,523,3.76233333
70601,24/7 TRAVEL STORE,I-70 EXIT 275,Abilene,KS,24/7 TRAVEL STORE Abilene KS ,38.917323,-97.21393,523,2.994
71922,Plaza of The Flint Hills,I-70 Exit 32B,Alma,KS,Plaza of The Flint Hills Alma KS ,39.01282,-96.289503,553,3.299
66737,THE JUNCTION,US-59 & US-73,Atchison,KS,THE JUNCTION Atchison KS ,39.561867,-95.119131,400,3.279
66363,LOVES TRAVEL STOP #178,"US-35/KS TPKE, MM 26",Belle Plaine,KS,LOVES TRAVEL STOP #178 Belle Plaine KS ,37.392379,-97.279816,570,3.329
69743,LOVES TRAVEL STOP #647,US-81,Belleville,KS,LOVES TRAVEL STOP #647 Belleville KS ,39.463939,-96.344951,523,3.81566666
70726,CASEYS #1195,US-36,Belleville,KS,CASEYS #1195 Belleville KS ,39.824002,-97.630999,336,3.339
67682,CASEYS #2739,1323 E MAIN ST,Beloit,KS,CASEYS #2739 Beloit KS ,37.108739,-96.49682,336,3.359
4199,PWI #574,"I-70, EXIT 193/US-40",Bunker Hill,KS,PWI #574 Bunker Hill KS ,38.87393,-98.705022,357,2.959
69906,LOVES TRAVEL STOP #692,US-169 & SR-39,Chanute,KS,LOVES TRAVEL STOP #692 Chanute KS ,38.170632,-95.296647,570,3.27566666
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,PETES #56 Cherryvale KS ,37.273276,-95.472649,307,3.23233333
68993,SHORT STOP #22,SR-15,Clay Center,KS,SHORT STOP #22 Clay Center KS ,39.377262,-97.124588,316,2.97233333
72973,PETE'S 49,US-166 & US-169,Coffeyville,KS,PETE'S 49 Coffeyville KS ,37.214533,-95.698881,307,3.214
60273,24-7,"I-70, EXIT 53 & SR-25",Colby,KS,24-7 Colby KS ,39.127167,-100.85845,525,3.05566666
67129,PILOT TRAVEL CENTER #920,"I-70, EXIT 54",Colby,KS,PILOT TRAVEL CENTER #920 Colby KS ,37.338427,-94.622241,525,3.634
67129,PILOT TRAVEL CENTERS #920,"I-70, EXIT 54",Colby,KS,PILOT TRAVEL CENTERS #920 Colby KS ,39.134071,-100.85765,525,3.649
66230,PETRO COLBY TRUCKSTOP,"I-70, EXIT 53 & SR-25",Colby,KS,PETRO COLBY TRUCKSTOP Colby KS ,39.397065,-101.045819,525,3.599
5407,CASEYS #4535,US 81,Concordia,KS,CASEYS #4535 Concordia KS ,39.542509,-97.952984,570,2.91233333
